#syntax: iterationNumber, AccelX, minX, maxX, minIteration, maxIteration
Start measure: 	77
Stop measure: 	0	Result: FORWARD
6	0.123779	[0:0]	[2000000:2000000]
6	-0.0300293	[0:0]	[2000000:2000000]
6	0.0568848	[0:0]	[2000000:2000000]
6	-0.00146484	[0:0]	[2000000:2000000]
6	0.0385742	[0:0]	[2000000:2000000]
6	0.0651855	[0:0]	[2000000:2000000]
6	0.064209	[0:0]	[2000000:2000000]
6	-0.0617676	[0:0]	[2000000:2000000]
6	0.0134277	[0:0]	[2000000:2000000]
6	0.017334	[0:0]	[2000000:2000000]
6	0.00219727	[0:0]	[2000000:2000000]
6	-0.00146484	[0:0]	[2000000:2000000]
6	0.0161133	[0:0]	[2000000:2000000]
6	0.000976562	[0:0]	[2000000:2000000]
6	0.0100098	[0:0]	[2000000:2000000]
6	-0.010498	[0:0]	[2000000:2000000]
6	-0.017334	[0:0]	[2000000:2000000]
6	0.0458984	[0:0]	[2000000:2000000]
6	-0.012207	[0:0]	[2000000:2000000]
6	0.0258789	[0:0]	[2000000:2000000]
6	-0.0241699	[0:0]	[2000000:2000000]
6	-0.010498	[0:0]	[2000000:2000000]
6	-0.032959	[0:0]	[2000000:2000000]
6	0.0322266	[0:0]	[2000000:2000000]
6	0.0498047	[0:0]	[2000000:2000000]
6	-0.0151367	[0:0]	[2000000:2000000]
6	0.0356445	[0:0]	[2000000:2000000]
6	-0.0229492	[0:0]	[2000000:2000000]
6	0.0180664	[0:0]	[2000000:2000000]
6	0.0297852	[0:0]	[2000000:2000000]
6	0.0249023	[0:0]	[2000000:2000000]
6	0.0324707	[0:0]	[2000000:2000000]
6	0.00634766	[0:0]	[2000000:2000000]
6	0.00512695	[0:0]	[2000000:2000000]
6	0.0100098	[0:0]	[2000000:2000000]
6	0.0488281	[0:0]	[2000000:2000000]
6	0.0263672	[0:0]	[2000000:2000000]
6	0.0410156	[0:0]	[2000000:2000000]
6	0.0224609	[0:0]	[2000000:2000000]
6	0.0344238	[0:0]	[2000000:2000000]
6	0.0380859	[0:0]	[2000000:2000000]
6	-0.0144043	[0:0]	[2000000:2000000]
6	0.0251465	[0:0]	[2000000:2000000]
6	0.0263672	[0:0]	[2000000:2000000]
6	0.0292969	[0:0]	[2000000:2000000]
6	0.0488281	[0:0]	[2000000:2000000]
6	-0.0107422	[0:0]	[2000000:2000000]
6	0.0612793	[0:0]	[2000000:2000000]
6	0.0478516	[0:0]	[2000000:2000000]
6	0.0461426	[0:0]	[2000000:2000000]
6	0.0178223	[0:0]	[2000000:2000000]
6	-0.00756836	[0:0]	[2000000:2000000]
6	0.0351562	[0:0]	[2000000:2000000]
6	0.0241699	[0:0]	[2000000:2000000]
6	0.0205078	[0:0]	[2000000:2000000]
6	0.017334	[0:0]	[2000000:2000000]
6	-0.032959	[0:0]	[2000000:2000000]
6	0.0227051	[0:0]	[2000000:2000000]
6	0.00146484	[0:0]	[2000000:2000000]
6	0.0334473	[0:0]	[2000000:2000000]
6	0.0141602	[0:0]	[2000000:2000000]
6	-0.0310059	[0:0]	[2000000:2000000]
6	0.00610352	[0:0]	[2000000:2000000]
result : Standing:|

