#syntax: iterationNumber, AccelX, minX, maxX, minIteration, maxIteration
Start measure: 	76
Stop measure: 	77	Result: BACKWARD
3	0.147705	[-0.390137:0.323975]	[8:28]
3	0.128662	[-0.390137:0.323975]	[8:28]
3	0.105713	[-0.390137:0.323975]	[8:28]
3	0.106689	[-0.390137:0.323975]	[8:28]
3	0.107178	[-0.390137:0.323975]	[8:28]
3	0.132812	[-0.390137:0.323975]	[8:28]
3	0.153809	[-0.390137:0.323975]	[8:28]
3	0.116943	[-0.390137:0.323975]	[8:28]
3	0.11084	[-0.390137:0.323975]	[8:28]
result : FORWARD:)

4	-0.000488281	[0:0]	[2000000:2000000]
4	0.000244141	[0:0]	[2000000:2000000]
4	0.0324707	[0:0]	[2000000:2000000]
4	0.0380859	[0:0]	[2000000:2000000]
4	0.0117188	[0:0]	[2000000:2000000]
4	0.00366211	[0:0]	[2000000:2000000]
4	0.013916	[0:0]	[2000000:2000000]
4	-0.0144043	[0:0]	[2000000:2000000]
4	0.541016	[0:0.541016]	[2000000:8]
4	-0.0876465	[0:0.541016]	[2000000:8]
4	-0.0507812	[0:0.541016]	[2000000:8]
4	0.162842	[0:0.541016]	[2000000:8]
4	0.109619	[0:0.541016]	[2000000:8]
4	-0.0324707	[0:0.541016]	[2000000:8]
4	-0.0393066	[0:0.541016]	[2000000:8]
4	0.10498	[0:0.541016]	[2000000:8]
4	0.28418	[0:0.541016]	[2000000:8]
4	0.0234375	[0:0.541016]	[2000000:8]
4	-0.0141602	[0:0.541016]	[2000000:8]
4	0.0136719	[0:0.541016]	[2000000:8]
4	0.0737305	[0:0.541016]	[2000000:8]
4	0.156738	[0:0.541016]	[2000000:8]
4	-0.00976562	[0:0.541016]	[2000000:8]
4	-0.0812988	[0:0.541016]	[2000000:8]
4	-0.00219727	[0:0.541016]	[2000000:8]
4	0.0622559	[0:0.541016]	[2000000:8]
4	0.0876465	[0:0.541016]	[2000000:8]
4	0.14917	[0:0.541016]	[2000000:8]
4	0.0449219	[0:0.541016]	[2000000:8]
4	-0.0371094	[0:0.541016]	[2000000:8]
4	0.0183105	[0:0.541016]	[2000000:8]
4	-0.00634766	[0:0.541016]	[2000000:8]
4	0.0827637	[0:0.541016]	[2000000:8]
4	0.0700684	[0:0.541016]	[2000000:8]
4	0.0410156	[0:0.541016]	[2000000:8]
4	0.0776367	[0:0.541016]	[2000000:8]
4	0.0541992	[0:0.541016]	[2000000:8]
4	0.0771484	[0:0.541016]	[2000000:8]
4	0.03125	[0:0.541016]	[2000000:8]
4	0.00170898	[0:0.541016]	[2000000:8]
4	0.0839844	[0:0.541016]	[2000000:8]
4	0.059082	[0:0.541016]	[2000000:8]
4	0.0649414	[0:0.541016]	[2000000:8]
4	0.0231934	[0:0.541016]	[2000000:8]
4	0.032959	[0:0.541016]	[2000000:8]
4	0.0432129	[0:0.541016]	[2000000:8]
4	0.0722656	[0:0.541016]	[2000000:8]
4	0.0805664	[0:0.541016]	[2000000:8]
4	0.0727539	[0:0.541016]	[2000000:8]
4	0.041748	[0:0.541016]	[2000000:8]
4	0.0400391	[0:0.541016]	[2000000:8]
4	0.0710449	[0:0.541016]	[2000000:8]
4	0.0754395	[0:0.541016]	[2000000:8]
4	0.0773926	[0:0.541016]	[2000000:8]
4	0.0473633	[0:0.541016]	[2000000:8]
4	0.0629883	[0:0.541016]	[2000000:8]
4	0.0544434	[0:0.541016]	[2000000:8]
4	0.0754395	[0:0.541016]	[2000000:8]
4	0.0869141	[0:0.541016]	[2000000:8]
4	0.0571289	[0:0.541016]	[2000000:8]
4	0.0444336	[0:0.541016]	[2000000:8]
4	0.0380859	[0:0.541016]	[2000000:8]
4	0.0610352	[0:0.541016]	[2000000:8]
4	0.0683594	[0:0.541016]	[2000000:8]
4	0.0671387	[0:0.541016]	[2000000:8]
4	0.0568848	[0:0.541016]	[2000000:8]
4	0.0446777	[0:0.541016]	[2000000:8]
4	0.0766602	[0:0.541016]	[2000000:8]
4	0.0720215	[0:0.541016]	[2000000:8]
4	0.0817871	[0:0.541016]	[2000000:8]
4	0.072998	[0:0.541016]	[2000000:8]
4	0.0344238	[0:0.541016]	[2000000:8]
4	0.0495605	[0:0.541016]	[2000000:8]
4	0.0361328	[0:0.541016]	[2000000:8]
4	0.0603027	[0:0.541016]	[2000000:8]
result : BACKWARD:(

5	0.00830078	[0:0]	[2000000:2000000]
5	0.00952148	[0:0]	[2000000:2000000]
5	0.00537109	[0:0]	[2000000:2000000]
5	-0.0161133	[0:0]	[2000000:2000000]
5	0.000488281	[0:0]	[2000000:2000000]
5	0.0178223	[0:0]	[2000000:2000000]
